,title,id,year,vote_count,vote_average,popularity,genres,wr
3030,The Green Mile,497,1999,4166,8,19.96678,Drama,7.740061984735744
5481,Spirited Away,129,2001,3968,8,41.048867, Adventure,7.728370088547121
1213,The Shining,694,1980,3890,8,19.611589,Thriller,7.723470196527388
1057,Reservoir Dogs,500,1992,3821,8,12.22034,Crime,7.718985929444048
2211,Life Is Beautiful,637,1997,3643,8,39.39497,Comedy,7.706716980570131
1163,A Clockwork Orange,185,1971,3432,8,17.112594,Science Fiction,7.690710069783866
1178,The Godfather: Part II,240,1974,3418,8,36.629307, Crime,7.689585963080069
49,The Usual Suspects,629,1995,3334,8,16.302466,Thriller,7.682665904932172
1170,GoodFellas,769,1990,3211,8,15.424092,Drama,7.671957511600666
2216,American History X,73,1998,3120,8,18.157166,Drama,7.6635579993765965
4135,Scarface,111,1983,3017,8,11.299673,Action,7.653516409673841
1152,One Flew Over the Cuckoos Nest,510,1975,3001,8,35.529554,Drama,7.651902512309877
32144,Room,264644,2015,2838,8,12.443291,Thriller,7.634561469983015
1201,Dead Poets Society,207,1989,2786,8,19.905716,Drama,7.628659978193921
109,Taxi Driver,103,1976,2632,8,14.092713,Crime,7.61000819627672
1176,Psycho,539,1960,2405,8,36.826309,Thriller,7.578825336310119
1159,The Good the Bad and the Ugly,429,1966,2371,8,16.788787,Action,7.573720188871453
1161,12 Angry Men,389,1957,2130,8,16.503959,Drama,7.533652546717795
1165,Apocalypse Now,28,1979,2112,8,13.5963,Drama,7.530355510520199
9698,Howls Moving Castle,4935,2004,2049,8,16.136048,Adventure,7.518439440106494
2884,Princess Mononoke,128,1997,2041,8,17.166725,Adventure,7.5168828807209795
10309,Dilwale Dulhania Le Jayenge,19404,1995,661,9,34.457024,Comedy,7.511675917611347
9430,Oldboy,670,2003,2000,8,10.616859,Drama,7.508744917742163
5857,The Pianist,423,2002,1927,8,14.811594,Drama,7.4935557517087785
5878,City of God,598,2002,1852,8,14.95927,Crime,7.47694012676484
5833,My Neighbor Totoro,8392,1988,1730,8,13.507299,Drama,7.447451538717387
41128,Lion,334543,2016,1699,8,17.085145,Drama,7.439421064127719
877,Rear Window,567,1954,1531,8,17.911314,Thriller,7.3914937047248985
732,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,935,1964,1472,8,9.80398,Drama,7.372657465784064
896,Citizen Kane,15,1941,1244,8,15.811921,Drama,7.287416644686785
876,Vertigo,426,1958,1162,8,18.20822, Thriller,7.250805219163174
1166,Once Upon a Time in the West,335,1968,1160,8,15.589351,Action,7.249865200617582
1184,Once Upon a Time in America,311,1984,1104,8,32.182851,Drama,7.222552099989874
926,Its a Wonderful Life,1585,1946,1103,8,15.031588,Drama,7.222046278324285
40251,Your Name.,372058,2016,1030,8,34.461252,Drama,7.183254870071329
5553,Grave of the Fireflies,12477,1988,974,8,0.010902,Drama,7.150770688767348
1910,Seven Samurai,346,1954,892,8,15.01777,Action,7.0982542456896125
3342,Modern Times,3082,1936,881,8,8.159556,Drama,7.09071112531135
883,Some Like It Hot,239,1959,835,8,11.845107,Comedy,7.057750299278506
1132,Cinema Paradiso,11216,1988,834,8,14.177005,Drama,7.0570072001454465
1236,The Great Dictator,914,1940,756,8,9.241748,Comedy,6.995197588054139
19901,Paperman,140420,2012,734,8,7.198633, Drama,6.976271515226392
25465,Mommy,265177,2014,734,8,14.876086,Drama,6.976271515226392
43190,Band of Brothers,331214,2001,725,8,7.903731,Action,6.968321941142732
14551,Avatar,19995,2009,12114,7,185.070892,Science Fiction,6.939295914072714
17818,The Avengers,24428,2012,12000,7,89.887648,Science Fiction,6.938739354172786
26564,Deadpool,293660,2016,11444,7,187.860492,Adventure,6.935871790687357
20051,Django Unchained,68718,2012,10297,7,19.785025,Action,6.929017345054928
23753,Guardians of the Galaxy,118340,2014,10014,7,53.291601,Science Fiction,6.927094671686871
26553,Mad Max: Fury Road,76341,2015,9629,7,29.36178,Action,6.924305389027569
18252,The Dark Knight Rises,49026,2012,9263,7,20.58258,Action,6.92144839948277
2458,The Matrix,603,1999,9079,7,33.366332,Science Fiction,6.919929058108318
12588,Iron Man,1726,2008,8951,7,22.073099,Action,6.918836987723434
37863,Sing Street,369557,2016,669,8,10.672862,Drama,6.915943000711174
19971,The Hobbit: An Unexpected Journey,49051,2012,8427,7,23.253089,Adventure,6.914037369347074
1901,Metropolis,19,1927,666,8,14.487867,Drama,6.912986481622205
26555,Star Wars: The Force Awakens,140607,2015,7993,7,31.626013,Science Fiction ,6.909610196960297
1639,Titanic,597,1997,7770,7,26.88907,Drama,6.907153233762119
10122,Batman Begins,272,2005,7511,7,28.505341,Action,6.9041265109860825
26567,Captain America: Civil War,271110,2016,7462,7,145.882135,Action,6.903531551391138
30051,The Martian,286217,2015,7442,7,25.62993,Science Fiction,6.903286583263639
6390,Pirates of the Caribbean: The Curse of the Black Pearl,22,2003,7191,7,47.326665,Adventure,6.900102967840581
4766,Harry Potter and the Philosophers Stone,671,2001,7188,7,38.187238,Adventure,6.900063648620365
13724,Up,14160,2009,7048,7,19.330884,Comedy,6.898193682141731
26558,Avengers: Age of Ultron,99861,2015,6908,7,37.37942,Action,6.896252401223703
22131,The Wolf of Wall Street,106646,2013,6768,7,16.382422,Crime,6.894235647012556
30315,Inside Out,150540,2015,6737,7,23.985587,Comedy ,6.893778431151085
22058,The Hunger Games: Catching Fire,101299,2013,6656,7,25.309139,Adventure,6.892564898418113
13605,Inglourious Basterds,16869,2009,6598,7,16.89564,Drama,6.891678772722472
15472,Despicable Me,20352,2010,6595,7,22.274502,Drama,6.891632540871308
14825,Shutter Island,11324,2010,6559,7,15.813629,Drama,6.891074664633837
31865,The Revenant,281957,2015,6558,7,23.501228,Action,6.891059086067567
12704,WALL·E,10681,2008,6439,7,16.088366, Drama,6.889172869166948
13746,The Hangover,18785,2009,6324,7,23.947351,Comedy,6.887286938411427
42170,Logan,263115,2017,6310,7,54.581997,Drama,6.887052955187489
6232,Finding Nemo,12,2003,6292,7,25.497794,Adventure ,6.886750688341425
24455,Big Hero 6,177572,2014,6289,7,213.849907,Adventure,6.886700153173349
23359,X-Men: Days of Future Past,127585,2014,6155,7,26.058586,Science Fiction,6.88439598266572
4756,Monsters Inc.,585,2001,6150,7,26.419962,Comedy,6.884308191036517
17437,Harry Potter and the Deathly Hallows: Part 2,12445,2011,6141,7,24.990737, Adventure,6.884149829625008
25534,Kingsman: The Secret Service,207703,2015,6069,7,28.224212,Adventure,6.882867158201511
7725,Harry Potter and the Prisoner of Azkaban,673,2004,6037,7,28.460276,Adventure ,6.882287919917234
26562,Ant-Man,102899,2015,6029,7,26.882388,Science Fiction,6.8821422141086845
23675,Gone Girl,210577,2014,6023,7,154.801009, Thriller,6.882032697813911
5678,Harry Potter and the Chamber of Secrets,672,2002,5966,7,29.741452,Adventure ,6.880982051528816
19735,Life of Pi,87827,2012,5912,7,14.045042,Adventure,6.879969292433726
14557,Sherlock Holmes,10528,2009,5883,7,15.68604,Crime,6.879418257049934
23053,Captain America: The Winter Soldier,100402,2014,5881,7,18.717704,Action,6.879380068057708
26568,Doctor Strange,284052,2016,5880,7,43.847654,Action,6.879360964489139
21592,Gravity,49047,2013,5879,7,18.50194,Science Fiction,6.879341854868435
10554,Harry Potter and the Goblet of Fire,674,2005,5758,7,24.903058,Adventure ,6.876984032587924
40598,Arrival,329865,2016,5729,7,30.83786,Science Fiction,6.876405180883405
16128,Harry Potter and the Deathly Hallows: Part 1,12444,2010,5708,7,23.300362,Adventure ,6.875982600095153
21025,Now You See Me,75656,2013,5635,7,17.852022,Thriller,6.874490876550408
11927,Harry Potter and the Order of the Phoenix,675,2007,5633,7,21.3643,Adventure,6.87444950218962
30401,Fantastic Beasts and Where to Find Them,259316,2016,5612,7,41.051421,Adventure ,6.874013418753627
3456,Gladiator,98,2000,5566,7,23.186667,Action,6.873047521630737
24121,The Maze Runner,198663,2014,5540,7,76.93789,Science Fiction,6.872494999963915
24351,John Wick,245891,2014,5499,7,183.870374,Action,6.871613876585948
22110,Frozen,109445,2013,5440,7,24.248243, Adventure,6.870324332615667
13893,Harry Potter and the Half-Blood Prince,767,2009,5435,7,19.083723,Adventure ,6.870213857519923
0,Toy Story,862,1995,5415,7,21.946943, Comedy ,6.869770068350902
11008,Pirates of the Caribbean: Dead Mans Chest,58,2006,5380,7,29.455314,Adventure,6.8689860904341975
8234,The Incredibles,9806,2004,5290,7,22.220214,Action,6.86692612330266
17217,X-Men: First Class,49538,2011,5252,7,0.738633,Action,6.866036779772146
1919,Saving Private Ryan,857,1998,5148,7,21.758054,History,6.863540868825587
41489,Rogue One: A Star Wars Story,330459,2016,5111,7,36.567575,Action,6.862630320971041
11662,300 spartanse,1271,2006,5092,7,18.108408,Action,6.862158003942169
6725,Kill Bill: Vol. 1,24,2003,5091,7,25.261865,Action,6.862133055164603
33356,Wonder Woman,297762,2017,5025,7,294.337037,Action,6.860466226375605
23465,Edge of Tomorrow,137113,2014,4979,7,31.982986,Science Fiction,6.85928045996387
36253,Zootopia,269149,2016,4961,7,26.024868,Adventure,6.858810960108328
475,Jurassic Park,329,1993,4956,7,8.863776,Adventure,6.858679986972992
25390,The Hobbit: The Battle of the Five Armies,122917,2014,4884,7,31.718977,Action,6.856766665999328
24482,Ex Machina,264660,2015,4862,7,14.14078,Science Fiction,6.856171663478932
26566,Guardians of the Galaxy Vol. 2,283995,2017,4858,7,185.330992,Action,6.8560629496947145
19731,Silver Linings Playbook,82693,2012,4840,7,14.488111,Drama,6.855571696963297
1167,Return of the Jedi,1892,1983,4763,7,14.586087,Adventure,6.853431812542702
15017,Kick-Ass,23483,2010,4747,7,17.26045,Action,6.852979179653431
40882,La La Land,313369,2016,4745,7,19.681686,Comedy,6.8529224038973595
21161,Despicable Me 2,93456,2013,4729,7,24.82355,Comedy ,6.852466614329736
15348,Toy Story 3,10193,2010,4710,7,16.96647, Comedy,6.851921681528855
1604,The Truman Show,37165,1998,4702,7,13.155901,Comedy,6.85169102994245
23561,Birdman,194662,2014,4657,7,18.193263,Drama,6.85038010799144
19726,Wreck-It Ralph,82690,2012,4656,7,13.697597, Comedy,6.850350713120712
22059,The Hobbit: The Desolation of Smaug,57158,2013,4633,7,20.644776,Adventure,6.8496714288108205
23437,Maleficent,102651,2014,4607,7,19.467404,Adventure,6.848896078116331
24241,American Sniper,190859,2014,4600,7,19.228561,Action,6.848685961419235
13643,Star Trek,13475,2009,4574,7,15.362632,Science Fiction,6.847900385340341
1171,Alien,348,1979,4564,7,23.37742,Action,6.847596064382637
16066,Black Swan,44214,2010,4562,7,12.989056,Drama,6.847535054000085
10839,V for Vendetta,752,2006,4562,7,20.214422,Action,6.847535054000085
23692,Dawn of the Planet of the Apes,119450,2014,4511,7,75.385211,Science Fiction,6.8459626147187915
11567,Ratatouille,2062,2007,4510,7,20.50803, Comedy ,6.84593145828973
20922,Star Trek Into Darkness,54138,2013,4479,7,15.78129,Action,6.84495931809168
41492,Split,381288,2016,4461,7,28.920839,Thriller,6.844389199138799
11316,The Departed,1422,2006,4455,7,18.515448,Drama,6.84419822658712
17588,Rise of the Planet of the Apes,61791,2011,4452,7,41.613762,Thriller,6.844102564425794
12595,Taken,8681,2008,4444,7,16.367481,Action,6.843846890074708
28131,The Hateful Eight,273248,2015,4405,7,20.328822,Crime,6.842588371519823
14984,How to Train Your Dragon,10191,2010,4319,7,14.416681,Adventure ,6.8397401914126705
582,Terminator 2: Judgment Day,280,1991,4274,7,22.661695,Action,6.838208396300855
28830,Furious 7,168259,2015,4253,7,27.275687,Action,6.837483492593221
22168,Her,152601,2013,4215,7,13.829515,Science Fiction,6.836155115032142
1195,The Terminator,218,1984,4208,7,19.293562,Action,6.835908041745891
10069,Star Wars: Episode III - Revenge of the Sith,1895,2005,4200,7,13.165421,Science Fiction,6.835624758261637
4178,Shrek,808,2001,4183,7,17.987728,Adventure,6.835019521287508
7271,Kill Bill: Vol. 2,393,2004,4061,7,21.533072,Action,6.830541741887525
24366,Fury,228150,2014,4028,7,36.713807,Action,6.829288464765671
1007,Die Hard,562,1988,4005,7,16.640522,Action,6.828403949039068
18258,Sherlock Holmes: A Game of Shadows,58574,2011,3971,7,18.695329,Adventure,6.827079484627566
1460,The Fifth Element,18,1997,3962,7,24.30526,Adventure,6.8267254617344015
5084,Ice Age,425,2002,3954,7,17.328902,Comedy,6.8264095555570705
1156,Raiders of the Lost Ark,85,1981,3949,7,19.901576,Adventure,6.826211528584171
11404,Casino Royale,36557,2006,3930,7,23.065078,Adventure,6.825454887668292
1902,Back to the Future Part II,165,1989,3926,7,13.689855,Adventure,6.825294754537713
5851,Catch Me If You Can,640,2002,3917,7,19.833077,Drama,6.824933378484125
2997,Toy Story 2,863,1999,3914,7,17.547693,Comedy,6.824812587346924
16572,Limitless,51876,2011,3888,7,12.114955,Thriller,6.823758706567428
20910,The Great Gatsby,64682,2013,3885,7,17.598936,Drama,6.823636288442794
23512,The Fault in Our Stars,222935,2014,3868,7,16.274653,Drama,6.822939360712326
4833,Oceans Eleven,161,2001,3857,7,12.114932,Thriller,6.822485464876352
536,Blade Runner,78,1982,3833,7,96.272374,Science Fiction,6.821487023619504
17439,Drive,64690,2011,3832,7,15.388875,Drama,6.821445178102303
21878,12 Years a Slave,76203,2013,3787,7,30.316249,Drama,6.819541608572477
7208,Eternal Sunshine of the Spotless Mind,38,2004,3758,7,12.906327,Science Fiction,6.8182932084409416
2178,Edward Scissorhands,162,1990,3731,7,17.612244, Drama, 6.817115277259166
14236,Zombieland,19908,2009,3655,7,11.063029,Comedy,6.813716099238059
5284,The Bourne Identity,2501,2002,3640,7,21.040126,Action,6.813030223314783
21101,Monsters University,62211,2013,3622,7,16.267502,Comedy,6.812200475785114
4748,Donnie Darko,141,2001,3574,7,18.303148,Drama,6.809951379686733
581,Aladdin,812,1992,3495,7,16.357419, Comedy,6.806130091571501
15798,The Social Network,37799,2010,3492,7,16.972995,Drama,6.805981948493232
24445,Nightcrawler,242582,2014,3475,7,21.277073,Crime,6.8051381759489455
19590,Argo,68734,2012,3473,7,14.238234,Drama,6.805038425847051
41457,Moana,277834,2016,3471,7,9.143457,Adventure,6.8049385735683545
13966,District 9,17654,2009,3451,7,11.589835,Science Fiction,6.803934396340908
2742,American Beauty,14,1999,3438,7,20.726578,Drama,6.80327611822945
1138,Paths of Glory,975,1957,565,8,8.548518,Drama,6.803088218002428
16130,Tangled,38757,2010,3419,7,14.684761, Crime,6.80230602901231
108,Braveheart,197,1995,3404,7,20.755149,Action,6.801533384519131
4843,Amélie,194,2001,3403,7,12.879381,Comedy,6.801481660094977
24982,The Theory of Everything,266856,2014,3403,7,11.85302,Drama,6.801481660094977
13219,The Curious Case of Benjamin Button,4922,2008,3398,7,17.934821,Drama,6.801222633033514
23553,22 Jump Street,187017,2014,3375,7,10.901496,Crime,6.8000223496414876
1065,E.T. the Extra-Terrestrial,601,1982,3359,7,19.358546,Science Fiction,6.799178784546381
3897,Cast Away,8358,2000,3304,7,21.296343,Adventure,6.79622395125319
40416,Hacksaw Ridge,324786,2016,3294,7,21.037699,Drama,6.7956773416803715
1158,Aliens,679,1986,3282,7,21.761179,Action,6.795017526852644
23472,Mission: Impossible - Rogue Nation,177677,2015,3274,7,17.836882,Action,6.79457527771964
2647,The Sixth Sense,745,1999,3223,7,18.449169, Thriller,6.791710453865033
1246,Indiana Jones and the Last Crusade,89,1989,3221,7,14.788987,Adventure,6.791596478737189
22167,The Secret Life of Walter Mitty,116745,2013,3213,7,8.684892,Adventure,6.791139328155862
11007,The Devil Wears Prada,350,2006,3198,7,13.102384,Comedy,6.790276742782056
2576,The Legend of 1900,10376,1998,554,8,7.668214,Drama,6.789762277109743
21604,Prisoners,146233,2013,3183,7,11.96262,Drama,6.789407002981594
13187,Gran Torino,13223,2008,3181,7,14.794228,Drama,6.789290492333174
21276,The Conjuring,138843,2013,3169,7,14.90169,Thriller,6.78858871212446
7834,The Notebook,11036,2004,3163,7,15.239013,Drama,6.788236066106318
23557,How to Train Your Dragon 2,82702,2014,3163,7,12.256689, Action,6.788236066106318
12083,Into the Wild,5915,2007,3139,7,15.423538,Adventure,6.786813638338769
22718,The Lego Movie,137106,2014,3127,7,16.418133,Adventure,6.786095234424158
11308,Pans Labyrinth,1417,2006,3122,7,26.817754,Drama,6.7857944684433145
4865,A Beautiful Mind,453,2001,3087,7,11.93646,Drama,6.783665188805574
12170,No Country for Old Men,6977,2007,3083,7,15.565484,Crime,6.7834191440956575
897,2001: A Space Odyssey,62,1968,3075,7,22.494622,Science Fiction,6.782925371839391
19460,The Perks of Being a Wallflower,84892,2012,3056,7,12.775679,Drama,6.78174359019611
588,Beauty and the Beast,10020,1991,3029,7,23.433511, Drama,6.780041908687389
1650,The Big Lebowski,115,1998,3001,7,15.952524,Comedy,6.778248946079891
23555,The Equalizer,156022,2014,2997,7,17.618057,Thriller,6.777990419639879
13874,(500) Days of Summer,19913,2009,2993,7,16.376657,Comedy,6.777731289694901
42169,Get Out,419430,2017,2978,7,36.894806, Thriller,6.776754141202938
1903,Back to the Future Part III,196,1990,2978,7,13.043999,Adventure,6.776754141202938
21948,Dallas Buyers Club,152532,2013,2973,7,14.785719,Drama,6.7764265129980705
3886,Snatch,107,2000,2953,7,14.014025,Thriller,6.775106327069508
11965,The Bourne Ultimatum,2503,2007,2938,7,18.173269,Action,6.774105910374978
13060,Slumdog Millionaire,12405,2008,2918,7,11.258181,Drama,6.772758093611106
12815,Watchmen,13183,2009,2892,7,16.551503,Action,6.770981698672407
1624,Good Will Hunting,489,1997,2880,7,15.064833,Drama,6.770152422988662
7938,The Bourne Supremacy,2502,2004,2873,7,20.40426,Action,6.769665899541707
2006,Indiana Jones and the Temple of Doom,87,1984,2841,7,15.802306,Adventure,6.767415306804405
16129,The Kings Speech,45269,2010,2817,7,11.260387,History,6.765698286614711
895,Sunset Boulevard,599,1950,533,8,11.709777,Drama,6.763479968753284
9888,Sin City,187,2005,2755,7,15.010525,Action,6.761143032230926
16833,Source Code,45612,2011,2752,7,9.796962,Thriller,6.7609181198318975
